Key,Korean,English
RLC_SWORD_BOOK_DESC,모든 스트레이트 데미지 +30,All Straight Damage +30
RLC_SPIKED_HAMMER_NAME,가시 망치,Spiked Hammer
RLC_SPIKED_HAMMER_DESC,포카드 데미지 +20,Four of a Kind Damage +20
RLC_SQUARE_PEG_NAME,네모난 못,Square Peg
RLC_SQUARE_PEG_DESC,포카드 데미지 +40,Four of a Kind Damage +40
RLC_EVEN_BOOK_NAME,짝수의 서,Book of Evens
RLC_EVEN_BOOK_DESC,모두 짝수일 때 데미지 1.5배,All Even: Damage x1.5
RLC_ODD_BOOK_NAME,홀수의 서,Book of Odds
RLC_ODD_BOOK_DESC,모두 홀수일 때 데미지 1.5배,All Odd: Damage x1.5
RLC_LUCKY_RING_NAME,행운의 반지,Lucky Ring
RLC_LUCKY_RING_DESC,트리플 데미지 +20,Triple Damage +20
RLC_IRON_FIST_NAME,철제 주먹,Iron Fist
RLC_IRON_FIST_DESC,투 페어 데미지 +10,Two Pair Damage +10
RLC_GAMBLER_RING_NAME,도박사의 반지,Gambler's Ring
RLC_GAMBLER_RING_DESC,모든 패 데미지+20%; 최대 체력 -9,All Hand Damage +20%; Max HP -9
RLC_LUCKY_CLOVER_NAME,행운의 네잎클로버,Lucky Four-Leaf Clover
RLC_LUCKY_CLOVER_DESC,재굴림 시 반드시 이전보다 높은 숫자가 나옴,Rerolls always yield higher values
RLC_TOUGH_ARMOR_NAME,튼튼한 갑옷,Tough Armor
RLC_TOUGH_ARMOR_DESC,방어력 +3,Armor +3
RLC_LIGHTWEIGHT_BAG_NAME,가벼운 가방,Lightweight Bag
RLC_LIGHTWEIGHT_BAG_DESC,고유 유물을 제외한 유물 보유 한도+1,Relic slot +1 (except unique relics)
RLC_FOCUS_NAME,집중,Focus
RLC_FOCUS_DESC,모든 패 데미지 +20; D6 1개 제거,All Hand Damage +20; Remove 1 D6
RLC_REGENERATION_NAME,재생의 팔찌,Regeneration Bracelet
RLC_REGENERATION_DESC,매 굴림 시 5% 확률로 체력 1 회복,5% chance to heal 1 HP per roll
RLC_VAMPIRE_FANG_NAME,흡혈귀의 이빨,Vampire Fang
RLC_VAMPIRE_FANG_DESC,패 완성 시마다 체력 +1,Heal 1 HP per Hand completed
RLC_MERCHANT_CARD_NAME,상인의 인장,Merchant's Seal
RLC_MERCHANT_CARD_DESC,상점 새로고침 비용 동결,Freeze shop refresh cost
RLC_LUCKY_CHARM_NAME,행운의 동전,Lucky Coin
RLC_LUCKY_CHARM_DESC,상점 판매가 25% 할인,Shop prices -25%
RLC_GOLD_DICE_NAME,황금 주사위,Golden Dice
RLC_GOLD_DICE_DESC,골드 획득 1.5배,Gold gain x1.5
RLC_GLASS_CANNON_NAME,유리 대포,Glass Cannon
RLC_GLASS_CANNON_DESC,모든 패 데미지 +50; 최대 체력 -5,All Hand Damage +50; Max HP -5
RLC_PLUTOCRACY_NAME,금권 정치,Plutocracy
RLC_PLUTOCRACY_DESC,보유 골드 100당 데미지 +1 (최대 +50),+1 damage per 100 gold (max +50)
RLC_BLOODLUST_NAME,피의 갈증,Bloodlust
RLC_BLOODLUST_DESC,잃은 체력 1당 데미지 +1%(최대 20%),+1% damage per missing HP (max 20%)
RLC_GEM_CROWN_NAME,보석 박힌 왕관,Gem-Studded Crown
RLC_GEM_CROWN_DESC,야찌 패 골드 3배,Yatzy Hand Gold x3
RLC_PHOENIX_FEATHER_NAME,불사조의 깃털,Phoenix Feather
RLC_PHOENIX_FEATHER_DESC,게임오버 시 체력 50%로 1회 부활,Revive once at 50% HP on death
RLC_DEMON_CONTRACT_NAME,악마의 계약서,Demon Contract
RLC_DEMON_CONTRACT_DESC,모든 패 데미지 +15%; 체력 회복 불가,All Hand Damage +15%; Cannot heal
RLC_DIAMOND_DICE_NAME,다이아몬드 주사위,Diamond Dice
RLC_DIAMOND_DICE_DESC,모든 주사위의 최소 눈 결정값이 2로 고정,All dice minimum value is 2
RLC_MAGNET_NAME,자석,Magnet
RLC_MAGNET_DESC,재굴림 시 선택하지 않은 주사위들이 같은 숫자가 나올 확률 증가,Unselected dice more likely to match when rerolling
RLC_SPRING_NAME,스프링,Spring
RLC_SPRING_DESC,상품 리롤 시 소모되는 비용 50% 확률로 반환,50% chance to refund reroll cost
RLC_FEATHER_NAME,가벼운 깃털,Light Feather
RLC_FEATHER_DESC,6이 나온 주사위 재굴림,Reroll dice showing 6
RLC_DOUBLE_DICE_NAME,이중 주사위,Double Dice
RLC_DOUBLE_DICE_DESC,선택한 주사위의 눈을 2배로 계산 (1회),Double selected dice value (once)
RLC_SCHOLAR_BOOK_NAME,학자의 서적,Scholar's Book
RLC_SCHOLAR_BOOK_DESC,미사용 패로 공격 시 영구 데미지 +1%,+1% permanent damage per unused Hand attack
RLC_DICE_CUP_NAME,주사위 컵,Dice Cup
RLC_DICE_CUP_DESC,주사위 보존 횟수 +1,Dice lock charges +1
RLC_COUNTERWEIGHT_NAME,균형추,Counterweight
RLC_COUNTERWEIGHT_DESC,D20이 10 이하면 +5,D20 ≤10: +5
RLC_HOURGLASS_NAME,시간의 모래시계,Hourglass of Time
RLC_HOURGLASS_DESC,남은 굴림 횟수가 적을수록 데미지 상승 (회당 +10%/최대 30%),+10% damage per remaining roll (max 30%)
RLC_ALCHEMY_NAME,연금술사의 돌,Alchemist's Stone
RLC_ALCHEMY_DESC,1이 나온 주사위를 7로 취급,Treat dice showing 1 as 7
RLC_PERFECTIONIST_NAME,완벽주의자,Perfectionist
RLC_PERFECTIONIST_DESC,4연속 스트레이트 삭제; 5연속 스트레이트 데미지 +50,Remove 4-Straight; 5-Straight Damage +50
RLC_TANZANITE_NAME,탄자나이트,Tanzanite
RLC_TANZANITE_DESC,짝수가 나온 주사위 재굴림,Reroll dice showing even numbers
RLC_LODESTONE_NAME,자철석,Lodestone
RLC_LODESTONE_DESC,홀수가 나온 주사위 재굴림,Reroll dice showing odd numbers
RLC_FATE_DICE_NAME,운명의 주사위,Fate Dice
RLC_FATE_DICE_DESC,모든 주사위를 최대값으로 설정 (존 당 1회),Set all dice to max value (once per zone)
RLC_ROYAL_SEAL_NAME,왕실의 인장,Royal Seal
RLC_ROYAL_SEAL_DESC,풀 하우스 패 골드 3배,Full House Hand Gold x3
RLC_BUSINESS_CARD_NAME,명함,Business Card
RLC_BUSINESS_CARD_DESC,첫 굴림 데미지/골드 2배,First roll damage/gold x2
RLC_TIME_RIFT_NAME,시공의 틈,Time Rift
RLC_TIME_RIFT_DESC,족보 완성 시 20% 확률로 굴림 횟수 미소모,20% chance to not consume roll on hand completion
RLC_FATE_DICE_TRIGGER,운명의 주사위!,Fate Dice!
RLC_SMALL_SHIELD_TRIGGER,피해 무효화!,Damage Nullified!
RLC_SWIFT_HANDS_TRIGGER,무료 굴림!,Free Roll!
RLC_REGENERATION_TRIGGER,재생,Regen
RLC_VAMPIRE_FANG_TRIGGER,흡혈,Lifesteal
RLC_SPRING_TRIGGER,반환됨,Refunded
RLC_PHOENIX_FEATHER_TRIGGER,부활!,Revived!
RLC_DOUBLE_DICE_TRIGGER,이중 주사위!,Double Dice!
RLC_DICE_CUP_TRIGGER,보존!,Preserved!
RLC_TIME_RIFT_TRIGGER,시간 절약!,Time Saved!
RLC_SCHOLAR_BOOK_TRIGGER,성장,Growth
